GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2016;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09180122;      Krün;6348;29320;5622;25827;726;3493
09180123;      Mittenwald, M;3833;17612;3334;15407;499;2205
09180124;      Murnau a.Staffelsee, M;2696;10302;2354;8961;342;1341
09180125;      Oberammergau;4645;21069;2929;14119;1716;6950
09180126;      Oberau;705;1817;427;1371;278;446
09180127;      Ohlstadt;925;6214;923;6212;2;2
09180128;      Riegsee;.;.;.;.;.;.
09180129;      Saulgrub;407;2125;388;2049;19;76
09180131;      Schwaigen;-;-;-;-;-;-
09180132;      Seehausen a.Staffelsee;86;472;67;267;19;205
09180133;      Spatzenhausen;-;-;-;-;-;-
09180134;      Uffing a.Staffelsee;.;.;.;.;.;.
09180135;      Unterammergau;417;785;417;785;-;-
09180136;      Wallgau;1105;5538;1007;5113;98;425
09180444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09181;    Landsberg am Lech (Lkr);4749;12216;3947;9721;802;2495
09181111;      Apfeldorf;-;-;-;-;-;-
09181113;      Denklingen;.;.;.;.;.;.
09181114;      Dießen am Ammersee, M;462;1355;403;1016;59;339
09181115;      Eching am Ammersee;-;-;-;-;-;-
09181116;      Egling a.d.Paar;-;-;-;-;-;-
09181118;      Eresing;.;.;.;.;.;.
09181120;      Finning;.;.;.;.;.;.
09181121;      Fuchstal;.;.;.;.;.;.
09181122;      Geltendorf;-;-;-;-;-;-
09181123;      Greifenberg;.;.;.;.;.;.
09181124;      Hofstetten;.;.;.;.;.;.
09181126;      Hurlach;-;-;-;-;-;-
09181127;      Igling;-;-;-;-;-;-
09181128;      Kaufering, M;.;.;.;.;.;.
09181129;      Kinsau;.;.;.;.;.;.
09181130;      Landsberg am Lech, GKSt;2141;4815;1632;3356;509;1459
09181131;      Obermeitingen;-;-;-;-;-;-
09181132;      Penzing;.;.;.;.;.;.
09181133;      Vilgertshofen;.;.;.;.;.;.
09181134;      Prittriching;-;-;-;-;-;-
09181135;      Reichling;-;-;-;-;-;-
09181137;      Rott;.;.;.;.;.;.
09181138;      Scheuring;.;.;.;.;.;.
09181139;      Schondorf am Ammersee;273;511;265;485;8;26
09181140;      Schwifting;-;-;-;-;-;-
09181141;      Pürgen;-;-;-;-;-;-
09181142;      Thaining;.;.;.;.;.;.
09181143;      Unterdießen;-;-;-;-;-;-
09181144;      Utting am Ammersee;-;-;-;-;-;-
09181145;      Weil;85;280;83;277;2;3
09181146;      Windach;-;-;-;-;-;-
09181444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09182;    Miesbach (Lkr);48681;150545;40605;132888;8076;17657
09182111;      Bad Wiessee;5513;35464;5040;31222;473;4242
09182112;      Bayrischzell;3950;15492;3544;13980;406;1512
09182114;      Fischbachau;1789;5650;1772;5562;17;88
09182116;      Gmund a.Tegernsee;1079;1806;1004;1614;75;192
09182119;      Hausham;982;2056;975;2033;7;23
09182120;      Holzkirchen, M;2321;4032;1159;2324;1162;1708
09182123;      Irschenberg;3117;3322;1057;1183;2060;2139
09182124;      Kreuth;4091;11260;3896;10590;195;670
09182125;      Miesbach, St;1978;2992;1244;2199;734;793
09182127;      Otterfing;281;570;155;370;126;200
09182129;      Rottach-Egern;6061;22551;5475;21187;586;1364
09182131;      Schliersee, M;11923;30731;11141;27825;782;2906
09182132;      Tegernsee, St;3354;11516;3180;11222;174;294
09182133;      Valley;385;456;226;294;159;162
09182134;      Waakirchen;.;.;.;.;.;.
09182136;      Warngau;.;.;.;.;.;.
09182137;      Weyarn;1719;2173;624;1033;1095;1140
09183;    Mühldorf a.Inn (Lkr);5056;12546;4518;10641;538;1905
09183112;      Ampfing;475;1124;394;858;81;266
09183113;      Aschau a.Inn;367;1331;319;682;48;649
09183114;      Buchbach, M;.;.;.;.;.;.
09183115;      Egglkofen;-;-;-;-;-;-
09183116;      Erharting;317;700;289;647;28;53
09183118;      Gars a.Inn, M;75;657;62;562;13;95
09183119;      Haag i.OB, M;-;-;-;-;-;-
09183120;      Heldenstein;-;-;-;-;-;-
09183122;      Jettenbach;.;.;.;.;.;.
09183123;      Kirchdorf;.;.;.;.;.;.
09183124;      Kraiburg a.Inn, M;256;791;252;787;4;4
09183125;      Lohkirchen;-;-;-;-;-;-
09183126;      Maitenbeth;-;-;-;-;-;-
09183127;      Mettenheim;-;-;-;-;-;-
09183128;      Mühldorf a.Inn, St;1733;3701;1481;3180;252;521
09183129;      Neumarkt-Sankt Veit, St;.;.;.;.;.;.
09183130;      Niederbergkirchen;-;-;-;-;-;-
09183131;      Niedertaufkirchen;.;.;.;.;.;.
09183132;      Oberbergkirchen;-;-;-;-;-;-
09183134;      Oberneukirchen;-;-;-;-;-;-
09183135;      Obertaufkirchen;38;197;38;197;-;-
09183136;      Polling;.;.;.;.;.;.
09183138;      Rattenkirchen;-;-;-;-;-;-
09183139;      Rechtmehring;-;-;-;-;-;-
09183140;      Reichertsheim;.;.;.;.;.;.
09183143;      Schönberg;-;-;-;-;-;-
09183144;      Schwindegg;-;-;-;-;-;-
09183145;      Taufkirchen;.;.;.;.;.;.
09183147;      Unterreit;.;.;.;.;.;.
09183148;      Waldkraiburg, St;675;1484;607;1264;68;220
09183151;      Zangberg;.;.;.;.;.;.
09183444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09184;    München (Lkr);85197;148499;60864;107459;24333;41040
09184112;      Aschheim;13697;21136;10674;16265;3023;4871
09184113;      Baierbrunn;478;1115;387;777;91;338
09184114;      Brunnthal;.;.;.;.;.;.
09184118;      Feldkirchen;7492;13484;4749;8979;2743;4505
09184119;      Garching b.München, St;9519;15950;6823;11181;2696;4769
09184120;      Gräfelfing;539;2167;525;2141;14;26
09184121;      Grasbrunn;1339;2105;751;1409;588;696
09184122;      Grünwald;972;1873;777;1494;195;379
09184123;      Haar;3776;7224;2869;5460;907;1764
09184127;      Höhenkirchen-Siegertsbrunn;.;.;.;.;.;.
09184129;      Hohenbrunn;1251;3046;1090;2681;161;365
09184130;      Ismaning;4785;9567;3552;7024;1233;2543
09184131;      Kirchheim b.München;1256;2494;958;1928;298;566
09184132;      Neuried;-;-;-;-;-;-
09184134;      Oberhaching;2279;4649;1733;3681;546;968
09184135;      Oberschleißheim;1675;3383;1259;2332;416;1051
09184136;      Ottobrunn;2522;4372;1600;2508;922;1864
09184137;      Aying;.;.;.;.;.;.
09184138;      Planegg;1287;2940;910;1871;377;1069
09184139;      Pullach i.Isartal;597;1448;426;1059;171;389
09184140;      Putzbrunn;2860;5648;1831;4224;1029;1424
09184141;      Sauerlach;2619;3618;1305;2112;1314;1506
09184142;      Schäftlarn;633;1001;485;756;148;245
09184144;      Straßlach-Dingharting;433;1071;398;1020;35;51
09184145;      Taufkirchen;708;1345;670;1267;38;78
09184146;      Neubiberg;466;1061;402;938;64;123
09184147;      Unterföhring;3963;7202;2864;5476;1099;1726
09184148;      Unterhaching;7200;11905;4321;7198;2879;4707
09184149;      Unterschleißheim, St;9741;12051;7468;9300;2273;2751
09184444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09185;    Neuburg-Schrobenhausen (Lkr);3502;8224;3037;6725;465;1499
09185113;      Aresing;-;-;-;-;-;-
09185116;      Berg im Gau;.;.;.;.;.;.
09185118;      Bergheim;.;.;.;.;.;.
09185123;      Brunnen;-;-;-;-;-;-
09185125;      Burgheim, M;.;.;.;.;.;.
09185127;      Ehekirchen;.;.;.;.;.;.
09185131;      Gachenbach;-;-;-;-;-;-
09185139;      Karlshuld;.;.;.;.;.;.
09185140;      Karlskron;.;.;.;.;.;.
09185143;      Langenmosen;.;.;.;.;.;.
09185149;      Neuburg a.d.Donau, GKSt;1837;4778;1645;3890;192;888
09185150;      Oberhausen;-;-;-;-;-;-
09185153;      Rennertshofen, M;.;.;.;.;.;.
09185157;      Rohrenfels;-;-;-;-;-;-
09185158;      Schrobenhausen, St;771;1546;597;1196;174;350
09185163;      Königsmoos;.;.;.;.;.;.
09185166;      Waidhofen;.;.;.;.;.;.
09185168;      Weichering;.;.;.;.;.;.
09186;    Pfaffenhofen a.d.Ilm (Lkr);9495;17077;6745;12792;2750;4285
09186113;      Baar-Ebenhausen;.;.;.;.;.;.
09186116;      Ernsgaden;.;.;.;.;.;.
09186122;      Geisenfeld, St;.;.;.;.;.;.
09186125;      Gerolsbach;-;-;-;-;-;-
09186126;      Hettenshausen;-;-;-;-;-;-
09186128;      Hohenwart, M;.;.;.;.;.;.
09186130;      Ilmmünster;-;-;-;-;-;-
09186132;      Jetzendorf;-;-;-;-;-;-
09186137;      Manching, M;824;1644;668;1449;156;195
09186139;      Münchsmünster;-;-;-;-;-;-
09186143;      Pfaffenhofen a.d.Ilm, St;1873;3482;1302;2359;571;1123
09186144;      Pörnbach;.;.;.;.;.;.
09186146;      Reichertshausen;.;.;.;.;.;.
09186147;      Reichertshofen, M;1285;2045;636;1245;649;800
09186149;      Rohrbach;.;.;.;.;.;.
09186151;      Scheyern;.;.;.;.;.;.
09186152;      Schweitenkirchen;2175;3177;1339;2257;836;920
09186158;      Vohburg a.d.Donau, St;503;1180;383;891;120;289
09186162;      Wolnzach, M;1353;2339;1126;1972;227;367
09187;    Rosenheim (Lkr);46886;148286;35937;131422;10949;16864
09187113;      Amerang;96;275;77;122;19;153
09187114;      Aschau i.Chiemgau;2975;12666;2550;11813;425;853
09187116;      Babensham;.;.;.;.;.;.
09187117;      Bad Aibling, St;8010;27006;6593;24341;1417;2665
09187118;      Bernau a.Chiemsee;1504;10616;1148;9843;356;773
09187120;      Brannenburg;1580;3215;1110;2628;470;587
09187121;      Breitbrunn a.Chiemsee;.;.;.;.;.;.
09187122;      Bruckmühl, M;543;1057;418;902;125;155
09187123;      Chiemsee;.;.;.;.;.;.
09187124;      Edling;.;.;.;.;.;.
09187125;      Eggstätt;219;486;152;387;67;99
09187126;      Eiselfing;245;577;213;493;32;84
09187128;      Bad Endorf, M;1950;11532;1783;11192;167;340
09187129;      Bad Feilnbach;2647;17083;1974;16278;673;805
09187130;      Feldkirchen-Westerham;1383;2595;1135;2322;248;273
09187131;      Flintsbach a.Inn;943;1442;552;955;391;487
09187132;      Frasdorf;1047;1898;711;1315;336;583
09187134;      Griesstätt;-;-;-;-;-;-
09187137;      Großkarolinenfeld;-;-;-;-;-;-
09187138;      Gstadt a.Chiemsee;365;605;289;518;76;87
09187139;      Halfing;.;.;.;.;.;.
09187142;      Schechen;818;1775;542;1320;276;455
09187145;      Höslwang;.;.;.;.;.;.
09187148;      Kiefersfelden;843;2626;714;2342;129;284
09187150;      Kolbermoor, St;.;.;.;.;.;.
09187154;      Neubeuern, M;441;744;280;542;161;202
09187156;      Nußdorf a.Inn;516;1153;318;925;198;228
09187157;      Oberaudorf;7016;17887;5778;15650;1238;2237
09187159;      Pfaffing;.;.;.;.;.;.
09187162;      Prien a.Chiemsee, M;4203;16039;3340;14897;863;1142
09187163;      Prutting;.;.;.;.;.;.
09187164;      Ramerberg;-;-;-;-;-;-
09187165;      Raubling;749;1363;354;889;395;474
09187167;      Riedering;474;630;379;531;95;99
09187168;      Rimsting;656;1192;644;1155;12;37
09187169;      Rohrdorf;4245;5519;2087;3220;2158;2299
09187170;      Rott a.Inn;.;.;.;.;.;.
09187172;      Samerberg;299;407;243;349;56;58
09187173;      Schonstett;.;.;.;.;.;.
09187174;      Söchtenau;.;.;.;.;.;.
09187176;      Soyen;.;.;.;.;.;.
09187177;      Stephanskirchen;.;.;.;.;.;.
09187179;      Tuntenhausen;-;-;-;-;-;-
09187181;      Vogtareuth;.;.;.;.;.;.
09187182;      Wasserburg a.Inn, St;796;2190;665;1951;131;239
09187186;      Albaching;-;-;-;-;-;-
09187444;      Gemeindefreie Gebiete;-;-;-;-;-;-
09188;    Starnberg (Lkr);14835;31179;13146;27220;1689;3959
09188113;      Berg;1908;3840;1695;3461;213;379
